gene,r_cnv_rna,p_cnv_rna,r_cnv_prot,p_cnv_prot,prot_att,prot_att_class
DHRS3,0.143783464,0.005723185,0.087798474,0.156458014,0.05598499,a_not
PEX14,0.526092238,1.39E-27,0.470144148,4.56E-18,0.05594809,a_not
B3GNT3,0.037725375,0.470606262,-0.018170248,0.859782666,0.055895623,a_not
MAP4K3,0.382699869,2.78E-14,0.326846897,6.36E-07,0.055852971,a_not
EHD2,0.191313714,0.000222757,0.135535114,0.00923604,0.0557786,a_not
PGM2,0.353764355,2.74E-12,0.298061331,6.05E-09,0.055703023,a_not
H2AFY,0.470330993,1.18E-21,0.414710156,1.33E-16,0.055620837,a_not
PPP3CA,0.212293257,4.03E-05,0.15671361,0.002643179,0.055579647,a_not
LMO7,0.330777364,7.62E-11,0.275450531,3.15E-07,0.055326833,a_not
TBC1D4,0.28192925,3.76E-08,0.226632718,1.62E-05,0.055296533,a_not
STARD10,0.322313989,2.42E-10,0.267028161,2.93E-07,0.055285828,a_not
ARL6,0.327694324,1.17E-10,0.272535777,2.01E-05,0.055158547,a_not
SYNE1,-0.022043205,0.673408549,-0.077112362,0.169469388,0.055069157,a_not
EPRS,0.471647815,8.82E-22,0.416734285,6.82E-17,0.05491353,a_not
MFAP2,0.076003366,0.145629789,0.021102597,0.725633773,0.054900769,a_not
EXTL2,0.276592544,6.91E-08,0.221729912,0.011890704,0.054862632,a_not
AGT,0.129422077,0.012963949,0.074571589,0.189649836,0.054850488,a_not
EPHB3,0.217817634,2.50E-05,0.163122978,0.00454924,0.054694657,a_not
SETD7,0.333421475,5.27E-11,0.27883588,2.24E-06,0.054585595,a_not
HSPB8,0.147199537,0.004660633,0.092650186,0.249991564,0.054549351,a_not
ITPKB,0.273827783,9.43E-08,0.219422584,0.001749968,0.054405199,a_not
Sep 09,0.34187007,1.58E-11,0.287478974,1.97E-08,0.054391096,a_not
DSP,0.330326822,8.11E-11,0.275939285,2.65E-07,0.054387537,a_not
PLXNA1,0.235678744,4.87E-06,0.181296561,0.003171353,0.054382183,a_not
AKR1C2,0.204837786,7.55E-05,0.150523402,0.024577166,0.054314383,a_not
QPCT,0.07545753,0.148552808,0.021154501,0.808304434,0.054303029,a_not
TMEM132A,0.233340274,6.08E-06,0.179100893,0.012237583,0.054239382,a_not
WFDC2,0.10326233,0.047763082,0.049078873,0.454947408,0.054183457,a_not
CRMP1,0.116194397,0.025816115,0.062023297,0.309014303,0.054171099,a_not
PACSIN2,0.517937228,1.20E-26,0.463786073,1.18E-20,0.054151156,a_not
MB,0.192900441,0.000196942,0.138843968,0.041967172,0.054056473,a_not
CDH2,0.161863828,0.001838891,0.10790163,0.140505251,0.053962198,a_not
C15orf52,0.066960413,0.199985744,0.013051214,0.861185841,0.053909199,a_not
PLK1,0.107923299,0.038514939,0.054111975,0.483401525,0.053811324,a_not
AGL,0.278099728,5.82E-08,0.2243509,1.73E-05,0.053748828,a_not
CAPN2,0.243556647,2.27E-06,0.189906945,0.000253167,0.053649702,a_not
TLE3,0.29399467,9.02E-09,0.240388939,3.11E-05,0.053605731,a_not
ABCC4,0.237141847,4.24E-06,0.183670603,0.002738526,0.053471244,a_not
LEPREL2,0.114617763,0.027912088,0.061213587,0.305671878,0.053404176,a_not
VPS26A,0.343716598,1.21E-11,0.290358055,1.46E-08,0.053358543,a_not
MAL2,0.164863656,0.001505522,0.111564212,0.184657532,0.053299444,a_not
BAX,0.326970479,1.29E-10,0.273676105,1.04E-07,0.053294374,a_not
